scenario,method,quantity,rmse,min_coverage,max_coverage,joint_coverage,median_width,width_available,width_missing,empty_sets,unbounded_sets,completed,datasets,diagnostic_fits,median_seconds
weak,linear_ancova,itt_d,0.03795729478167862,1.0,1.0,1.0,0.18781935785922915,400,0,0,0,100,100,100,0.0006147362291812897
weak,linear_ancova,wald,10.06100594563728,0.91,0.95,0.82,inf,400,0,0,292,100,100,100,0.0006147362291812897
weak,spline_ancova,itt_y,0.2548925333521354,0.95,0.98,0.88,1.072234042065173,400,0,0,0,100,100,100,0.0007835193537175655
weak,spline_ancova,itt_d,0.044584945380371,0.97,0.97,0.97,0.19839815503967645,400,0,0,0,100,100,100,0.0007835193537175655
weak,spline_ancova,wald,6.679786464301267,0.92,0.98,0.85,inf,400,0,0,288,100,100,100,0.0007835193537175655
weak,longbet_direct,itt_y,0.31701348416600467,0.82,0.89,0.68,0.9796548507581337,400,0,0,0,100,100,93,36.075564763043076
weak,longbet_direct,itt_d,0.05720896785546402,0.74,0.76,0.73,0.13553417491249498,400,0,0,0,100,100,93,36.075564763043076
weak,longbet_direct,wald,3.149817101548464,0.95,0.99,0.92,41.34870901867753,400,0,0,0,100,100,93,36.075564763043076
zero,unadjusted,itt_y,0.8445673486643158,0.94,0.95,0.92,3.1884728359426853,400,0,0,0,100,100,100,0.003460526466369629
zero,unadjusted,itt_d,0.05414101956926929,0.98,0.98,0.98,0.22257088683292953,400,0,0,0,100,100,100,0.003460526466369629
zero,unadjusted,wald,,,,,inf,400,0,0,392,100,100,100,0.003460526466369629
zero,linear_ancova,itt_y,0.28851231815362083,0.95,0.99,0.9,1.1077638405127668,400,0,0,0,100,100,100,0.0008685835637152195
zero,linear_ancova,itt_d,0.04041421894839665,0.97,0.97,0.97,0.17779366972558291,400,0,0,0,100,100,100,0.0008685835637152195
zero,linear_ancova,wald,,,,,inf,400,0,0,388,100,100,100,0.0008685835637152195
zero,spline_ancova,itt_y,0.27984138099048367,0.93,0.99,0.87,1.0529719692000232,400,0,0,0,100,100,100,0.0012599057517945766
zero,spline_ancova,itt_d,0.04625963523223018,0.98,0.98,0.98,0.186924704796407,400,0,0,0,100,100,100,0.0012599057517945766
zero,spline_ancova,wald,,,,,inf,400,0,0,392,100,100,100,0.0012599057517945766
zero,longbet_direct,itt_y,0.2925000060701335,0.83,0.95,0.75,0.9571004722976837,400,0,0,0,100,100,91,37.583316002972424
zero,longbet_direct,itt_d,0.051519743693328734,0.76,0.79,0.75,0.1256155949226606,400,0,0,0,100,100,91,37.583316002972424
zero,longbet_direct,wald,,,,,134.50588258500957,400,0,0,0,100,100,91,37.583316002972424
serial_heteroskedastic,unadjusted,itt_y,0.8428233576114773,0.94,0.94,0.94,3.35032977719409,400,0,0,0,100,100,100,0.0034516919404268265
serial_heteroskedastic,unadjusted,itt_d,0.04628377145393404,0.99,0.99,0.99,0.2536497213277077,400,0,0,0,100,100,100,0.0034516919404268265
serial_heteroskedastic,unadjusted,wald,1.322672108468329,0.93,0.94,0.93,5.230132192703106,400,0,0,0,100,100,100,0.0034516919404268265
serial_heteroskedastic,linear_ancova,itt_y,0.2692445028140809,0.97,0.98,0.94,1.2270620636731095,400,0,0,0,100,100,100,0.0008658803999423981
serial_heteroskedastic,linear_ancova,itt_d,0.030814414645770335,1.0,1.0,1.0,0.19603087962540378,400,0,0,0,100,100,100,0.0008658803999423981
serial_heteroskedastic,linear_ancova,wald,0.4366469713336254,0.94,0.99,0.92,1.9293152832437306,400,0,0,0,100,100,100,0.0008658803999423981
serial_heteroskedastic,spline_ancova,itt_y,0.267423510281261,0.96,0.98,0.92,1.1816608770957824,400,0,0,0,100,100,100,0.0012566344812512398
serial_heteroskedastic,spline_ancova,itt_d,0.03864235284689175,0.99,0.99,0.99,0.2071502098408884,400,0,0,0,100,100,100,0.0012566344812512398
serial_heteroskedastic,spline_ancova,wald,0.3959962784516013,0.94,0.97,0.86,1.7107841138993187,400,0,0,0,100,100,100,0.0012566344812512398
serial_heteroskedastic,longbet_direct,itt_y,0.27420890768143213,0.89,0.99,0.84,0.9553625031614579,400,0,0,0,100,100,98,37.078291311860085
serial_heteroskedastic,longbet_direct,itt_d,0.04447719216631284,0.89,0.93,0.89,0.1438759388794166,400,0,0,0,100,100,98,37.078291311860085
serial_heteroskedastic,longbet_direct,wald,0.4013204038406344,0.97,1.0,0.95,1.9140046819823557,400,0,0,0,100,100,98,37.078291311860085
