scenario,comparator,available,complete_pairs,total_pairs,rmse_ratio,lower,upper,practical_reduction,credible_advantage
linear,linear_ancova,True,100,100,1.0231849091660223,0.980977282137482,1.0693895161875793,False,False
linear,spline_ancova,True,100,100,0.9572749064104947,0.9100558728822206,1.0073006945604905,False,False
smooth,linear_ancova,True,100,100,0.9141589582107058,0.8430596676243429,0.9938202944789578,False,True
smooth,spline_ancova,True,100,100,1.038358195492301,0.9537597269584376,1.1259198342038443,False,False
abrupt,linear_ancova,True,100,100,0.92413285432317,0.8677342057429345,0.9846132570372559,False,True
abrupt,spline_ancova,True,100,100,1.130217670870267,1.0676433430604253,1.1972953507412785,False,False
