scenario,comparator,available,complete_pairs,total_pairs,rmse_ratio,lower,upper,practical_reduction,credible_advantage
linear,linear_ancova,True,100,100,1.0429717986593083,0.9943027168770397,1.0936672143131467,False,False
linear,spline_ancova,True,100,100,0.9757871935036255,0.9173745430602198,1.0374274287549314,False,False
smooth,linear_ancova,True,100,100,0.9465473059667225,0.8583273803959893,1.0454930601616694,False,False
smooth,spline_ancova,True,100,100,1.0751468809051097,0.9718320681561354,1.1844495627267746,False,False
abrupt,linear_ancova,True,100,100,0.9438354109534356,0.8801693984836123,1.0117625012158409,False,False
abrupt,spline_ancova,True,100,100,1.1543139656407384,1.085730029509192,1.2283427426241313,False,False
