scenario,method,quantity,horizon,datasets,defined_targets,available,finite_estimates,rmse,bias,covered,coverage,coverage_lower,coverage_upper,median_width,width_available,width_missing,empty_sets,unbounded,diagnostics_passed
linear,spline_ancova,itt_y,2,100,100,100,100,0.2027567077385073,-0.025319850631881496,99,0.99,0.9455138038212946,0.9982325679358593,0.9422150037708611,100,0,0,0,100
linear,spline_ancova,itt_y,3,100,100,100,100,0.24660645018369923,-0.025430717553890016,94,0.94,0.8752318455410406,0.9722138760368118,0.9569708697504353,100,0,0,0,100
linear,spline_ancova,itt_y,4,100,100,100,100,0.22337604736567618,-0.0037232748101521927,97,0.97,0.9154806357094724,0.9897454759759611,0.9365752842055604,100,0,0,0,100
linear,spline_ancova,itt_d,1,100,100,100,100,0.03504338047078617,0.0011131653780193807,98,0.98,0.929988209271456,0.9944980324498376,0.194902956632735,100,0,0,0,100
linear,spline_ancova,itt_d,2,100,100,100,100,0.03504338047078617,0.0011131653780193807,98,0.98,0.929988209271456,0.9944980324498376,0.194902956632735,100,0,0,0,100
linear,spline_ancova,itt_d,3,100,100,100,100,0.03504338047078617,0.0011131653780193807,98,0.98,0.929988209271456,0.9944980324498376,0.194902956632735,100,0,0,0,100
linear,spline_ancova,itt_d,4,100,100,100,100,0.03504338047078617,0.0011131653780193807,98,0.98,0.929988209271456,0.9944980324498376,0.194902956632735,100,0,0,0,100
linear,spline_ancova,wald,1,100,100,100,100,0.3646716008019152,-0.04208029455492305,95,0.95,0.8882495307680808,0.9784563208456319,1.4930710227552364,100,0,0,0,100
linear,spline_ancova,wald,2,100,100,100,100,0.34567373001178914,-0.0509635400652391,98,0.98,0.929988209271456,0.9944980324498376,1.4816391845942518,100,0,0,0,100
linear,spline_ancova,wald,3,100,100,100,100,0.38831088574327616,-0.05822669009345106,95,0.95,0.8882495307680808,0.9784563208456319,1.5212371366547828,100,0,0,0,100
linear,spline_ancova,wald,4,100,100,100,100,0.3852981962624651,-0.01176564226194698,97,0.97,0.9154806357094724,0.9897454759759611,1.5125084688690893,100,0,0,0,100
linear,longbet_direct,itt_y,1,100,100,100,100,0.23113981590738042,-0.030236361934226894,93,0.93,0.8625048526092651,0.9656807389327273,0.8459600209050071,100,0,0,0,96
linear,longbet_direct,itt_y,2,100,100,100,100,0.2145808620503539,-0.03358610750816032,97,0.97,0.9154806357094724,0.9897454759759611,0.8426793955427107,100,0,0,0,95
linear,longbet_direct,itt_y,3,100,100,100,100,0.2513952464926821,-0.031553593783051996,91,0.91,0.837737871472837,0.9519274599974348,0.8446375322060005,100,0,0,0,95
linear,longbet_direct,itt_y,4,100,100,100,100,0.22629511930919372,-0.01597863919866925,93,0.93,0.8625048526092651,0.9656807389327273,0.8465692583759337,100,0,0,0,93
linear,longbet_direct,itt_d,1,100,100,100,100,0.058055306173679065,-0.00789805813107331,77,0.77,0.6784561697712622,0.8415673411969654,0.1465844900763238,100,0,0,0,97
linear,longbet_direct,itt_d,2,100,100,100,100,0.057978253664579975,-0.002899451930154789,78,0.78,0.6892964648501421,0.8499871761539459,0.14405153745905647,100,0,0,0,97
linear,longbet_direct,itt_d,3,100,100,100,100,0.05790198327077452,-0.0029049208217032823,77,0.77,0.6784561697712622,0.8415673411969654,0.14580543322782755,100,0,0,0,97
linear,longbet_direct,itt_d,4,100,100,100,100,0.05826617393570196,-0.007825663096960806,77,0.77,0.6784561697712622,0.8415673411969654,0.1455818606152275,100,0,0,0,97
linear,longbet_direct,wald,1,100,100,100,100,0.36304033650482664,-0.03000359346336189,97,0.97,0.9154806357094724,0.9897454759759611,1.6873764245283351,100,0,0,0,96
linear,longbet_direct,wald,2,100,100,100,100,0.3443290874244113,-0.05059725126112671,99,0.99,0.9455138038212946,0.9982325679358593,1.6464040191653253,100,0,0,0,95
linear,longbet_direct,wald,3,100,100,100,100,0.35719665252374994,-0.056497721534695504,97,0.97,0.9154806357094724,0.9897454759759611,1.6518559934571897,100,0,0,0,94
linear,longbet_direct,wald,4,100,100,100,100,0.3572511716769887,-0.0025469397805408644,99,0.99,0.9455138038212946,0.9982325679358593,1.6706760243139156,100,0,0,0,92
smooth,unadjusted,itt_y,1,100,100,100,100,0.7270449275985498,-0.1366258289360147,94,0.94,0.8752318455410406,0.9722138760368118,2.943009717036361,100,0,0,0,100
smooth,unadjusted,itt_y,2,100,100,100,100,0.8090517302493041,-0.12928314227217846,94,0.94,0.8752318455410406,0.9722138760368118,3.1865625665807764,100,0,0,0,100
smooth,unadjusted,itt_y,3,100,100,100,100,0.8424690532480971,-0.12476384918502324,95,0.95,0.8882495307680808,0.9784563208456319,3.4113433255256917,100,0,0,0,100
smooth,unadjusted,itt_y,4,100,100,100,100,0.8990025622133071,-0.11281910492024566,94,0.94,0.8752318455410406,0.9722138760368118,3.6607690785039257,100,0,0,0,100
smooth,unadjusted,itt_d,1,100,100,100,100,0.052544623892459265,-0.008625000000000053,99,0.99,0.9455138038212946,0.9982325679358593,0.2580157278152597,100,0,0,0,100
smooth,unadjusted,itt_d,2,100,100,100,100,0.052544623892459265,-0.008625000000000053,99,0.99,0.9455138038212946,0.9982325679358593,0.2580157278152597,100,0,0,0,100
smooth,unadjusted,itt_d,3,100,100,100,100,0.052544623892459265,-0.008625000000000053,99,0.99,0.9455138038212946,0.9982325679358593,0.2580157278152597,100,0,0,0,100
smooth,unadjusted,itt_d,4,100,100,100,100,0.052544623892459265,-0.008625000000000053,99,0.99,0.9455138038212946,0.9982325679358593,0.2580157278152597,100,0,0,0,100
smooth,unadjusted,wald,1,100,100,100,100,1.2155849554406326,-0.30854471765529395,95,0.95,0.8882495307680808,0.9784563208456319,4.978747683226159,100,0,0,0,100
smooth,unadjusted,wald,2,100,100,100,100,1.334827517482204,-0.29763878925896686,94,0.94,0.8752318455410406,0.9722138760368118,5.335817271329971,100,0,0,0,100
smooth,unadjusted,wald,3,100,100,100,100,1.370724749693846,-0.2855160181405918,94,0.94,0.8752318455410406,0.9722138760368118,5.676531441768368,100,0,0,0,100
smooth,unadjusted,wald,4,100,100,100,100,1.435314625940661,-0.26014890920423583,94,0.94,0.8752318455410406,0.9722138760368118,5.884970557223326,100,0,0,0,100
smooth,linear_ancova,itt_y,1,100,100,100,100,0.24386844235265778,-0.027696715971427324,95,0.95,0.8882495307680808,0.9784563208456319,0.9593724366108574,100,0,0,0,100
smooth,linear_ancova,itt_y,2,100,100,100,100,0.2731715744049958,-0.0062041427207990725,93,0.93,0.8625048526092651,0.9656807389327273,1.0698335650364135,100,0,0,0,100
smooth,linear_ancova,itt_y,3,100,100,100,100,0.26544319908466263,-0.004699911682656401,99,0.99,0.9455138038212946,0.9982325679358593,1.1713950584319641,100,0,0,0,100
smooth,linear_ancova,itt_y,4,100,100,100,100,0.32783802594458294,0.009537786506495753,95,0.95,0.8882495307680808,0.9784563208456319,1.2840086276953975,100,0,0,0,100
smooth,linear_ancova,itt_d,1,100,100,100,100,0.026433603371997322,-0.00026121717278031697,100,1.0,0.9630065017930143,1.0,0.1892770229763271,100,0,0,0,100
smooth,linear_ancova,itt_d,2,100,100,100,100,0.026433603371997322,-0.00026121717278031697,100,1.0,0.9630065017930143,1.0,0.1892770229763271,100,0,0,0,100
smooth,linear_ancova,itt_d,3,100,100,100,100,0.026433603371997322,-0.00026121717278031697,100,1.0,0.9630065017930143,1.0,0.1892770229763271,100,0,0,0,100
smooth,linear_ancova,itt_d,4,100,100,100,100,0.026433603371997322,-0.00026121717278031697,100,1.0,0.9630065017930143,1.0,0.1892770229763271,100,0,0,0,100
smooth,linear_ancova,wald,1,100,100,100,100,0.40731589748818936,-0.05275069422806519,92,0.92,0.8500189229905127,0.9589065385156194,1.5466749890681828,100,0,0,0,100
smooth,linear_ancova,wald,2,100,100,100,100,0.46079419205043354,-0.013000900381070001,91,0.91,0.837737871472837,0.9519274599974348,1.6915543711321996,100,0,0,0,100
smooth,linear_ancova,wald,3,100,100,100,100,0.43973047043625946,-0.009425768615778055,97,0.97,0.9154806357094724,0.9897454759759611,1.8546917859533152,100,0,0,0,100
smooth,linear_ancova,wald,4,100,100,100,100,0.5394507687687596,0.014588100133338174,96,0.96,0.9016292856411208,0.9843366960084523,2.024910989614904,100,0,0,0,100
